Start_Time_UTC;End_Time_UTC;Input_Name
2019-10-09 10:00:00;2019-10-09 10:29:25;FF_601_V1_MUS.wav
2019-10-09 11:00:00;2019-10-09 11:30:13;FF_602_V1_MUS.wav
2019-10-09 12:00:00;2019-10-09 12:29:10;FF_603_V1_MUS.wav
2019-10-09 13:00:00;2019-10-09 13:30:13;FF_604_V2_MUS.wav
2019-10-09 14:00:00;2019-10-09 14:29:51;FF_605_V1_MUS.wav
;;FF_606_V1_MUS.wav
2019-10-09 15:00:00;2019-10-09 15:29:29;FF_607_V1_MUS.wav
2019-10-09 16:00:00;2019-10-09 16:30:01;FF_608_V1_MUS.wav
2019-10-09 17:00:00;2019-10-09 17:29:36;FF_609_V1_MUS.wav
2019-10-09 18:00:00;2019-10-09 18:30:06;FF_610_V2_MUS.wav
2019-10-09 19:00:00;2019-10-09 19:30:17;FF_611_V1_MUS.wav
2019-10-09 20:00:00;2019-10-09 20:29:56;FF_612_V3_MUS.wav
2019-10-09 21:00:00;2019-10-09 21:31:00;FF_613_V1_MUS.wav
2019-10-09 22:00:00;2019-10-09 22:30:57;FF_614_V1_MUS.wav
2019-10-09 23:00:00;2019-10-09 23:28:35;FF_615_V1_MUS.wav
2019-10-10 00:00:00;2019-10-10 00:29:59;FF_616_V1_MUS.wav
2019-10-10 01:00:00;2019-10-10 01:30:02;FF_617_V1_MUS.wav
2019-10-10 02:00:00;2019-10-10 02:30:18;FF_618_V1_MUS.wav
2019-10-10 03:00:00;2019-10-10 03:29:10;FF_619_V1_MUS.wav
2019-10-10 04:00:00;2019-10-10 04:29:47;FF_620_V1_MUS.wav
2019-10-10 05:00:00;2019-10-10 05:30:19;FF_621_V1_MUS.wav
2019-10-10 06:00:00;2019-10-10 06:29:13;FF_622_V1_MUS.wav
2019-10-10 07:00:00;2019-10-10 07:29:14;FF_623_V1_MUS.wav
2019-10-10 08:00:00;2019-10-10 08:30:20;FF_624_V1_MUS.wav
2019-10-10 09:00:00;2019-10-10 09:30:01;FF_625_V1_MUS.wav
2019-10-10 10:00:00;2019-10-10 10:29:12;FF_626_V1_MUS.wav
2019-10-10 11:00:00;2019-10-10 11:29:42;FF_627_V1_MUS.wav
2019-10-10 12:00:00;2019-10-10 12:30:17;FF_628_V1_MUS.wav
2019-10-10 13:00:00;2019-10-10 13:28:42;FF_629_V1_MUS.wav
2019-10-10 14:00:00;2019-10-10 14:29:17;FF_630_V1_MUS.wav
2019-10-10 15:00:00;2019-10-10 15:29:23;FF_631_V1_MUS.wav
2019-10-10 16:00:00;2019-10-10 16:29:51;FF_632_V1_MUS.wav
2019-10-10 17:00:00;2019-10-10 17:29:39;FF_633_V1_MUS.wav
2019-10-10 18:00:00;2019-10-10 18:29:26;FF_634_V1_MUS.wav
2019-10-10 19:00:00;2019-10-10 19:30:13;FF_635_V1_MUS.wav
2019-10-10 20:00:00;2019-10-10 20:29:33;FF_636_V1_MUS.wav
2019-10-10 21:00:00;2019-10-10 21:29:36;FF_637_V1_MUS.wav
2019-10-10 22:00:00;2019-10-10 22:29:41;FF_638_V1_MUS.wav
2019-10-10 23:00:00;2019-10-10 23:30:14;FF_639_V1_MUS.wav
2019-10-11 00:00:00;2019-10-11 00:29:48;FF_640_V1_MUS.wav
2019-10-11 01:00:00;2019-10-11 01:29:41;FF_641_V1_MUS.wav
2019-10-11 02:00:00;2019-10-11 02:29:40;FF_642_V1_MUS.wav
2019-10-11 03:00:00;2019-10-11 03:29:32;FF_643_V1_MUS.wav
2019-10-11 04:00:00;2019-10-11 04:29:34;FF_644_V1_MUS.wav
2019-10-11 05:00:00;2019-10-11 05:29:44;FF_645_V1_MUS.wav
2019-10-11 06:00:00;2019-10-11 06:29:31;FF_646_V1_MUS.wav
2019-10-11 07:00:00;2019-10-11 07:29:06;FF_647_V1_MUS.wav
2019-10-11 08:00:00;2019-10-11 08:32:49;FF_648_V2_MUS.wav
2019-10-11 09:00:00;2019-10-11 09:32:02;FF_649_V2_MUS.wav
2019-10-11 10:00:00;2019-10-11 10:30:01;FF_650_V1_MUS.wav
2019-10-11 11:00:00;2019-10-11 11:30:10;FF_651_V1_MUS.wav
2019-10-11 12:00:00;2019-10-11 12:29:57;FF_652_V2_MUS.wav
2019-10-11 13:00:00;2019-10-11 13:31:52;FF_653_V1_MUS.wav
2019-10-11 14:00:00;2019-10-11 14:30:21;FF_654_V1_MUS.wav
2019-10-11 15:00:00;2019-10-11 15:29:11;FF_655_V1_MUS.wav
2019-10-11 16:00:00;2019-10-11 16:29:55;FF_656_V1_MUS.wav
2019-10-11 17:00:00;2019-10-11 17:29:43;FF_657_V1_MUS.wav
2019-10-11 18:00:00;2019-10-11 18:31:43;FF_658_V1_MUS.wav
2019-10-11 19:00:00;2019-10-11 19:30:44;FF_659_V1_MUS.wav
2019-10-11 20:00:00;2019-10-11 20:29:10;FF_660_V1_MUS.wav
2019-10-11 21:00:00;2019-10-11 21:30:52;FF_661_V1_MUS.wav
2019-10-11 22:00:00;2019-10-11 22:29:21;FF_662_V1_MUS.wav
;;FF_663_V1_MUS.wav
2019-10-11 23:00:00;2019-10-11 23:29:09;FF_664_V2_MUS.wav
;;FF_665_V1_MUS.wav
2019-10-12 01:00:00;2019-10-12 01:30:12;FF_666_V1_MUS.wav
;;FF_667_V1_MUS.wav
2019-10-12 00:00:00;2019-10-12 00:29:56;FF_668_V1_MUS.wav
2019-10-12 02:00:00;2019-10-12 02:30:23;FF_669_V1_MUS.wav
2019-10-12 03:00:00;2019-10-12 03:30:35;FF_670_V1_MUS.wav
2019-10-12 04:00:00;2019-10-12 04:28:47;FF_671_V2_MUS.wav
2019-10-12 05:00:00;2019-10-12 05:29:35;FF_672_V1_MUS.wav
2019-10-12 06:00:00;2019-10-12 06:29:38;FF_673_V1_MUS.wav
2019-10-12 07:00:00;2019-10-12 07:29:50;FF_674_V1_MUS.wav
2019-10-12 08:00:00;2019-10-12 08:29:16;FF_675_V1_MUS.wav
2019-10-12 09:00:00;2019-10-12 09:30:34;FF_676_V2_MUS.wav
2019-10-12 10:00:00;2019-10-12 10:32:20;FF_677_V1_MUS.wav
2019-10-12 11:00:00;2019-10-12 11:28:39;FF_678_V1_MUS.wav
2019-10-12 12:00:00;2019-10-12 12:30:14;FF_679_V1_MUS.wav
2019-10-12 13:00:00;2019-10-12 13:30:43;FF_680_V1_MUS.wav
2019-10-12 14:00:00;2019-10-12 14:30:09;FF_681_V1_MUS.wav
2019-10-12 15:00:00;2019-10-12 15:30:14;FF_682_V1_MUS.wav
2019-10-12 16:00:00;2019-10-12 16:31:31;FF_683_V1_MUS.wav
2019-10-12 17:00:00;2019-10-12 17:30:35;FF_684_V2_MUS.wav
2019-10-12 18:00:00;2019-10-12 18:29:11;FF_685_V1_MUS.wav
2019-10-12 19:00:00;2019-10-12 19:29:17;FF_686_V1_MUS.wav
2019-10-12 21:00:00;2019-10-12 21:30:31;FF_687_V1_MUS.wav
2019-10-12 20:00:00;2019-10-12 20:30:35;FF_688_V1_MUS.wav
2019-10-12 22:00:00;2019-10-12 22:30:20;FF_689_V1_MUS.wav
2019-10-12 23:00:00;2019-10-12 23:29:10;FF_690_V1_MUS.wav
2019-10-13 00:00:00;2019-10-13 00:30:16;FF_691_V1_MUS.wav
