Time(s)	pixel_1_intensity	pixel_2_intensity	pixel_3_intensity	pixel_4_intensity
0.39702868461608887	3	4	3	3
1.6169977188110352	7	8	9	6
2.835597515106201	7	8	8	6
4.055368185043335	6	7	7	6
5.28020453453064	7	6	7	6
6.51096773147583	6	8	7	5
8.120896816253662	6	7	6	6
9.746780633926392	6	7	6	6
10.996768712997437	6	6	6	5
12.236616373062134	7	7	7	6
13.457057476043701	6	7	6	5
14.676441192626953	6	7	7	5
16.296386241912842	6	7	7	6
17.915743589401245	6	6	7	6
19.545455932617188	6	7	6	6
21.165948390960693	6	6	6	6
22.385740518569946	6	6	7	5
23.61620020866394	6	6	6	5
25.226623058319092	7	7	7	5
26.45560312271118	6	6	6	5
28.076079607009888	6	7	6	5
29.323349952697754	6	6	5	6
30.58372712135315	5	5	5	6
32.16368532180786	4	4	3	3
33.41239929199219	3	4	4	3
